article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
58225,11,04/29/2025,0,1,1,58225,/data/ncd?ncdid=0&ncdver=1
58567,29,04/29/2025,131,1,1,58567,/data/ncd?ncdid=131&ncdver=1
58567,29,04/29/2025,232,1,2,58567,/data/ncd?ncdid=232&ncdver=1
58567,29,04/29/2025,217,1,3,58567,/data/ncd?ncdid=217&ncdver=1
58567,29,04/29/2025,47,1,4,58567,/data/ncd?ncdid=47&ncdver=1
58567,29,04/29/2025,139,1,5,58567,/data/ncd?ncdid=139&ncdver=1
58567,29,04/29/2025,315,1,6,58567,/data/ncd?ncdid=315&ncdver=1
58438,11,04/29/2025,281,1,1,58438,/data/ncd?ncdid=281&ncdver=1
58790,14,04/29/2025,217,1,1,58790,/data/ncd?ncdid=217&ncdver=1
59645,16,04/29/2025,0,1,1,59645,/data/ncd?ncdid=0&ncdver=1
58995,14,04/29/2025,0,1,1,58995,/data/ncd?ncdid=0&ncdver=1
59884,5,04/29/2025,0,1,1,59884,/data/ncd?ncdid=0&ncdver=1
57614,15,04/29/2025,0,1,1,57614,/data/ncd?ncdid=0&ncdver=1
57611,16,04/29/2025,0,1,1,57611,/data/ncd?ncdid=0&ncdver=1
60237,2,09/05/2025,0,1,1,60237,/data/ncd?ncdid=0&ncdver=1
60312,3,09/09/2025,0,1,1,60312,/data/ncd?ncdid=0&ncdver=1
60320,3,09/09/2025,0,1,1,60320,/data/ncd?ncdid=0&ncdver=1
59971,3,09/05/2025,0,1,1,59971,/data/ncd?ncdid=0&ncdver=1
57697,16,04/29/2025,226,1,1,57697,/data/ncd?ncdid=226&ncdver=1
57697,16,04/29/2025,330,1,2,57697,/data/ncd?ncdid=330&ncdver=1
57643,20,04/29/2025,0,1,1,57643,/data/ncd?ncdid=0&ncdver=1
57512,19,04/29/2025,0,1,1,57512,/data/ncd?ncdid=0&ncdver=1
58993,16,04/29/2025,0,1,1,58993,/data/ncd?ncdid=0&ncdver=1
58436,13,04/29/2025,281,1,1,58436,/data/ncd?ncdid=281&ncdver=1
60257,3,09/04/2025,0,1,1,60257,/data/ncd?ncdid=0&ncdver=1
60319,2,08/25/2025,155,1,1,60319,/data/ncd?ncdid=155&ncdver=1
