article_id,article_version,last_updated,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
58918,90,12/05/2024,,,368,39367,41,6,/data/lcd?lcdid=39367&ver=41
58918,90,07/21/2023,,,368,39668,9,7,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39668:8
58917,101,11/29/2021,52986,242,331,,,1,/data/article?articleid=52986&ver=242
58917,101,12/02/2021,56541,40,331,,,2,/data/article?articleid=56541&ver=40
58917,101,05/16/2022,59124,9,331,,,3,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=59124:4
58917,101,12/04/2024,59125,38,331,,,4,/data/article?articleid=59125&ver=38
58917,101,07/21/2023,59491,7,331,,,5,/data/article?articleid=59491&ver=7
58917,101,12/02/2021,,,331,35062,122,6,/data/lcd?lcdid=35062&ver=122
58917,101,05/17/2022,,,331,39364,24,7,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39364:19
58917,101,12/05/2024,,,331,39365,149,8,/data/lcd?lcdid=39365&ver=149
58917,101,07/21/2023,,,331,39667,10,9,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39667:9
58812,81,12/03/2021,57768,7,368,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=57768:4
58812,81,10/22/2021,58922,12,368,,,2,/data/article?articleid=58922&ver=12
58812,81,10/22/2021,,,368,39073,4,3,/data/lcd?lcdid=39073&ver=4
58801,85,12/03/2021,52986,242,331,,,1,/data/article?articleid=52986&ver=242
58801,85,12/03/2021,56541,40,335,,,2,/data/article?articleid=56541&ver=40
58801,85,10/22/2021,58929,3,331,,,3,/data/article?articleid=58929&ver=3
58801,85,10/22/2021,,,331,39063,11,4,/data/lcd?lcdid=39063&ver=11
57778,59,12/16/2022,,,368,34007,48,1,/data/lcd?lcdid=34007&ver=48
57778,59,12/16/2022,59285,3,368,,,2,/data/article?articleid=59285&ver=3
56786,77,12/16/2022,,,331,35093,114,1,/data/lcd?lcdid=35093&ver=114
56786,77,12/16/2022,59283,5,331,,,2,/data/article?articleid=59283&ver=5
53127,193,05/27/2022,53049,99,331,,,1,/data/article?articleid=53049&ver=99
60463,5,07/10/2026,,,143,40249,5,2,/data/lcd?lcdid=40249&ver=5
52800,98,11/10/2020,58544,18,143,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=58544:1
60446,3,07/08/2026,,,364,40060,6,1,/data/lcd?lcdid=40060&ver=6
60447,3,07/08/2026,,,356,40062,6,1,/data/lcd?lcdid=40062&ver=6
60438,5,07/08/2026,,,391,40058,7,1,/data/lcd?lcdid=40058&ver=7
60146,6,07/08/2026,,,391,40058,7,1,/data/lcd?lcdid=40058&ver=7
60161,4,07/08/2026,,,228,40140,6,1,/data/lcd?lcdid=40140&ver=6
60439,4,07/08/2026,,,228,40140,6,1,/data/lcd?lcdid=40140&ver=6
52513,50,05/01/2017,55426,132,389,,,1,/data/article?articleid=55426&ver=132
52513,50,04/04/2014,,,137,33796,24,2,/data/lcd?lcdid=33796&ver=24
58747,65,02/23/2022,,,228,39038,14,1,/data/lcd?lcdid=39038&ver=14
