last_updated,lcd_id,lcd_version,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
11/20/2025,33794,171,52507,156,389,,,1,/data/article?articleid=52507&ver=156
12/04/2025,33794,171,60373,4,389,,,2,/data/article?articleid=60373&ver=4
12/04/2025,33794,171,55426,132,389,,,3,/data/article?articleid=55426&ver=132
05/19/2026,40197,4,60216,4,360,,,1,/data/article?articleid=60216&ver=4
06/19/2026,40197,4,60217,4,364,,,2,/data/article?articleid=60217&ver=4
06/19/2026,40197,4,60450,2,364,,,3,/data/article?articleid=60450&ver=2
05/19/2026,40197,4,,,360,40196,4,4,/data/lcd?lcdid=40196&ver=4
06/24/2025,39938,5,59860,5,228,,,1,/data/article?articleid=59860&ver=5
06/24/2025,39938,5,60199,4,228,,,2,/data/article?articleid=60199&ver=4
06/19/2026,40199,4,60215,4,228,,,1,/data/article?articleid=60215&ver=4
06/19/2026,40199,4,60458,4,228,,,2,/data/article?articleid=60458&ver=4
06/19/2026,40199,4,,,228,40198,5,3,/data/lcd?lcdid=40198&ver=5
06/03/2021,38678,11,58205,13,143,,,1,/data/article?articleid=58205&ver=13
06/03/2021,38678,11,58792,2,143,,,2,/data/article?articleid=58792&ver=2
05/18/2021,38678,11,,,143,38677,3,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38677:2
06/18/2026,40272,3,60306,3,143,,,1,/data/article?articleid=60306&ver=3
06/18/2026,40272,3,60459,3,143,,,2,/data/article?articleid=60459&ver=3
06/18/2026,40272,3,,,143,40271,3,3,/data/lcd?lcdid=40271&ver=3
07/24/2024,39711,5,59876,2,143,,,1,/data/article?articleid=59876&ver=2
07/24/2024,39711,5,59551,5,143,,,2,/data/article?articleid=59551&ver=5
03/20/2024,38686,18,58213,16,143,,,1,/data/article?articleid=58213&ver=16
03/20/2024,38686,18,59703,2,143,,,2,/data/article?articleid=59703&ver=2
03/13/2024,38686,18,,,143,39718,4,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39718:3
02/23/2022,39044,15,58761,70,143,,,2,/data/article?articleid=58761&ver=70
02/23/2022,39044,15,59020,2,143,,,3,/data/article?articleid=59020&ver=2
