lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33446,47,394,12,1,06/18/2021
33446,47,395,12,1,06/18/2021
33446,47,396,12,1,06/18/2021
33446,47,378,13,1,06/18/2021
33446,47,379,13,1,06/18/2021
33446,47,380,13,1,06/18/2021
33446,47,381,13,1,06/18/2021
33447,48,394,12,1,09/10/2024
33447,48,395,12,1,09/10/2024
33447,48,396,12,1,09/10/2024
33447,48,378,13,1,09/10/2024
33447,48,379,13,1,09/10/2024
33447,48,380,13,1,09/10/2024
33447,48,381,13,1,09/10/2024
33449,36,394,12,1,11/09/2019
33449,36,395,12,1,11/09/2019
33449,36,396,12,1,11/09/2019
33449,36,378,13,1,11/09/2019
33449,36,379,13,1,11/09/2019
33449,36,380,13,1,11/09/2019
33449,36,381,13,1,11/09/2019
33455,31,394,12,1,09/03/2021
33455,31,395,12,1,09/03/2021
33455,31,396,12,1,09/03/2021
33455,31,378,13,1,09/03/2021
33455,31,379,13,1,09/03/2021
33455,31,380,13,1,09/03/2021
33455,31,381,13,1,09/03/2021
33456,71,391,12,1,06/05/2023
33456,71,394,12,1,06/05/2023
33456,71,392,12,1,06/05/2023
33456,71,395,12,1,06/05/2023
33456,71,393,12,1,06/05/2023
33456,71,396,12,1,06/05/2023
33456,71,374,13,1,06/05/2023
33456,71,378,13,1,06/05/2023
33456,71,375,13,1,06/05/2023
33456,71,379,13,1,06/05/2023
33456,71,376,13,1,06/05/2023
33456,71,380,13,1,06/05/2023
33456,71,377,13,1,06/05/2023
33456,71,381,13,1,06/05/2023
33457,61,391,12,1,03/14/2023
33457,61,394,12,1,03/14/2023
33457,61,392,12,1,03/14/2023
33457,61,395,12,1,03/14/2023
33457,61,393,12,1,03/14/2023
33457,61,396,12,1,03/14/2023
33457,61,374,13,1,03/14/2023
33457,61,378,13,1,03/14/2023
33457,61,375,13,1,03/14/2023
33457,61,379,13,1,03/14/2023
33457,61,376,13,1,03/14/2023
33457,61,380,13,1,03/14/2023
33457,61,377,13,1,03/14/2023
33457,61,381,13,1,03/14/2023
33458,70,394,12,1,05/20/2021
33458,70,395,12,1,05/20/2021
33458,70,396,12,1,05/20/2021
33458,70,378,13,1,05/20/2021
33458,70,379,13,1,05/20/2021
33458,70,380,13,1,05/20/2021
33458,70,381,13,1,05/20/2021
33459,46,391,12,1,06/03/2026
33459,46,394,12,1,06/03/2026
33459,46,392,12,1,06/03/2026
33459,46,395,12,1,06/03/2026
33459,46,393,12,1,06/03/2026
33459,46,396,12,1,06/03/2026
33459,46,374,13,1,06/03/2026
33459,46,378,13,1,06/03/2026
33459,46,375,13,1,06/03/2026
33459,46,379,13,1,06/03/2026
33459,46,376,13,1,06/03/2026
33459,46,380,13,1,06/03/2026
