article_id,article_version,hcpc_modifier_group,paragraph,last_updated
55951,21,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/18/2026
59551,5,1,,06/18/2026
55224,37,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/18/2026
58759,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/17/2026
58759,13,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/17/2026
53359,40,1,,06/17/2026
55061,13,1,,06/16/2026
58700,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/16/2026
58700,17,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/16/2026
58718,16,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/16/2026
56395,18,1,,06/16/2026
56779,25,1,,06/12/2026
56866,21,1,,06/12/2026
56346,27,1,,06/12/2026
57873,31,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/11/2026
57948,38,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/09/2026
57863,41,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/04/2026
57224,68,1,,06/03/2026
57071,36,1,,05/29/2026
57070,16,1,,05/29/2026
57067,34,1,,05/29/2026
57065,32,1,,05/29/2026
57858,30,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/29/2026
59866,6,1,,05/28/2026
57831,30,1,,05/26/2026
57901,27,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/26/2026
59882,9,1,,05/26/2026
57284,14,1,,05/22/2026
57069,25,1,,05/22/2026
58205,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/21/2026
58477,22,1,,05/21/2026
59664,17,1,,05/21/2026
57566,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/21/2026
57878,26,1,,05/21/2026
57064,15,1,,05/17/2026
58350,24,1,,05/15/2026
58075,24,1,,05/15/2026
60222,4,1,,05/14/2026
58403,27,1,,05/12/2026
60286,6,1,,05/08/2026
60292,4,1,,05/08/2026
57891,39,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/05/2026
55115,18,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,05/05/2026
57204,45,1,,05/05/2026
57837,30,1,,05/05/2026
53484,18,1,,05/04/2026
54767,71,1,,05/01/2026
54799,67,1,,05/01/2026
57944,25,1,"&lt;p&gt;For professional services billing of 64582, 64583, and 64584 with reduced services&lt;&sol;p&gt;",05/01/2026
55001,69,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/30/2026
58473,11,1,,04/30/2026
60185,11,1,,04/29/2026
57068,17,1,,04/29/2026
57307,38,1,,04/29/2026
57663,14,1,,04/29/2026
56836,18,1,,04/29/2026
59809,10,1,,04/29/2026
56915,37,1,,04/29/2026
60279,4,1,,04/29/2026
59350,27,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/28/2026
59674,18,1,"&lt;p&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.&lt;&sol;p&gt;",04/24/2026
59668,29,1,"&lt;p&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note: &lt;&sol;strong&gt;The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.&lt;&sol;p&gt;",04/24/2026
55621,17,1,,04/21/2026
56916,33,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/21/2026
55146,17,1,,04/21/2026
57733,12,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/21/2026
59429,4,1,,04/20/2026
55193,15,1,,04/20/2026
59332,15,1,,04/17/2026
59560,4,1,,04/16/2026
58405,22,1,,04/16/2026
60247,6,1,,04/10/2026
60213,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/10/2026
56459,30,1,,04/10/2026
57306,44,1,,04/10/2026
57160,13,1,,04/10/2026
57994,7,1,,04/09/2026
60181,12,1,,04/06/2026
60211,10,1,,04/06/2026
59055,15,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/06/2026
56326,28,1,,04/06/2026
56340,32,1,,04/06/2026
59726,19,1,,04/04/2026
59608,32,1,,04/04/2026
